Nation,Date,Representative,Thumbnail,Designation,Running President/PM,Gist Link,Emotion,State of Affairs
USA,02-07-2016,Barack Obama,"
Weekly Address: Serving our Military Families This Fourth of July",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/07/02/weekly-address-serving-our-military-families-fourth-july,JOY,NATIONALISM
Russia,24-08-2009,Dmitry Medvedev,Concluding Remarks at Meeting on the Siberian Federal District’s Economic and Social Development,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/5274,NEUTRAL,OTHERS
USA,26-05-2014,Barack Obama,"
Remarks by the President On Memorial Day -- Arlington National Cemetery",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/05/26/remarks-president-memorial-day-arlington-national-cemetery-0,UPSET,OTHERS
USA,30-08-2014,Barack Obama,"
Weekly Address: This Labor Day, Let’s Talk About the Minimum Wage",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/08/30/weekly-address-labor-day-let-s-talk-about-minimum-wage,JOY,OTHERS
USA,18-05-2018 00:00,Donald Trump,Remarks by President Trump at White House Prison Reform Summit,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-white-house-prison-reform-summit/,NEUTRAL,DEVELOPMENT
United Kingdom,11-Feb-11,David Cameron,PM's Speech on Government Procurement,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/pms-speech-on-government-procurement,OPTIMISM,DEVELOPMENT
Russia,22-02-2005,Vladimir Putin,Introductory Remarks at State Council Presidium Meeting on the Situation in and Development Prospects for the Aircraft Manufacturing Industry,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22836,OPTIMISM,DEVELOPMENT
USA,09-12-2021 00:00,Joe Biden,Remarks by President Biden in Meeting with Members of the White House COVID-⁠19 Response Team on the Omicron Variant,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/12/09/remarks-by-president-biden-in-meeting-with-members-of-the-white-house-covid-19-response-team-on-the-omicron-variant/,OPTIMISM,DEVELOPMENT
Russia,16-04-2001,Vladimir Putin,Remarks at an Enlarged Meeting of the Joint Board of the Finance Ministry and the Ministry for Taxes and Levies,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21221,NEUTRAL,DEVELOPMENT
USA,26-11-2019 00:00,Donald Trump,Remarks by President Trump at the National Thanksgiving Turkey Pardoning Ceremony,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-national-thanksgiving-turkey-pardoning-ceremony-3/,OPTIMISM,OTHERS
Russia,14-01-2003,Vladimir Putin,Opening Remarks at a Meeting of the Presidential Council on Science and High Technologies,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21835,NEUTRAL,DEVELOPMENT
USA,13-04-2021 00:00,Joe Biden,Remarks by President Biden at a Congressional Tribute for U.S. Capitol Police Officer William Evans,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/13/remarks-by-president-biden-at-a-congressional-tribute-for-u-s-capitol-police-officer-william-evans/,JOY,OTHERS
Russia,20-11-2007,Vladimir Putin,Opening Remarks at the Meeting with the Armed Forces Senior Command,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24684,JOY,DEVELOPMENT
USA,22-05-2014,Barack Obama,"
Remarks by the President on Creating Jobs Through Tourism",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/05/22/remarks-president-creating-jobs-through-tourism,NEUTRAL,DEVELOPMENT
Russia,16-03-2006,Vladimir Putin,Speech at Meeting with the G8 Energy Ministers,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23488,NEUTRAL,DEVELOPMENT
USA,16-06-2016,Barack Obama,"
Remarks by the President in a Statement to the Press",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/06/16/remarks-president-statement-press,JOY,OTHERS
China,25-01-2021 00:00,H.E. Xi Jinping,Let the Torch of Multilateralism Light up Humanity's Way Forward,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1848323.shtml,NEUTRAL,DEVELOPMENT
Russia,07-12-2002 00:00,Vladimir Putin,Speech to an Enlarged Conference at the Foreign Ministry Attended by the Heads of Russian Diplomatic Missions Abroad,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21674,JOY,INTERNATIONAL AFFAIRS
China,22-09-2020 00:00,H.E. Xi Jinping,Statement by H.E. Xi Jinping President of the People's Republic of China At the General Debate of the 75th Session of The United Nations General Assembly,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1817098.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,20-09-2016,Barack Obama,"
Remarks by President Obama at Leaders Summit on Refugees",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/09/20/remarks-president-obama-leaders-summit-refugees,JOY,INTERNATIONAL AFFAIRS
USA,03-09-2021 00:00,Joe Biden,Remarks by President Biden on the Administration’s Response to Hurricane Ida,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/09/03/remarks-by-president-biden-on-the-administrations-response-to-hurricane-ida/,NEUTRAL,OTHERS
USA,11-11-2019 00:00,Donald Trump,"
Remarks by President Trump at the New York City Veterans Day Parade",President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-new-york-city-veterans-day-parade/,JOY,NATIONALISM
Russia,19-02-2007,Vladimir Putin,Opening Address at the State Council Presidium Session on the Industrial Policy,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24049,UPSET,DEVELOPMENT
Russia,15-10-2008,Dmitry Medvedev,"Opening Remarks at a Meeting of the Council for Science, Technology and Education",President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/48315,OPTIMISM,DEVELOPMENT
Russia,24-09-2002,Vladimir Putin,Opening Remarks at a Meeting of the State Council Presidium ”On Measures for fighting against Drug Addiction and Illicit Drug Trafficking“,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21729,NEUTRAL,OTHERS
USA,18-08-2021 00:00,Joe Biden,Remarks by President Biden on Fighting the COVID-⁠19 Pandemic,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/08/18/remarks-by-president-biden-on-fighting-the-covid-19-pandemic-2/,OPTIMISM,DEVELOPMENT
Russia,12-03-2001 00:00,Vladimir Putin,Extracts from a Speech to Members of the Presidium of the Russian Academy of Sciences,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21425,NEUTRAL,DEVELOPMENT
USA,18-07-2019 00:00,Donald Trump,Remarks by President Trump at a Flag Presentation Ceremony,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-flag-presentation-ceremony/,JOY,NATIONALISM
USA,19-02-2013,Barack Obama,"
Remarks by the President on the Sequester",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/02/19/remarks-president-sequester,UPSET,DEVELOPMENT
China,17-01-2017 00:00,H.E. Xi Jinping,"Jointly Shoulder Responsibility of Our Times, Promote Global Growth",President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1538293.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,10-04-2013,Barack Obama,"
Remarks by the President Announcing the Fiscal Year 2014 Budget",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/04/10/remarks-president-announcing-fiscal-year-2014-budget,NEUTRAL,DEVELOPMENT
USA,05-02-2013,Barack Obama,"
Remarks by the President",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/02/05/remarks-president,NEUTRAL,DEVELOPMENT
China,29-03-2014 00:00,Xi Jinping,Friendship and Cooperation Bring Better Life To Both China and Europe,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1142166.shtml,JOY,INTERNATIONAL AFFAIRS
USA,25-09-2019 00:00,Donald Trump,Remarks by President Trump to the 74th Session of the United Nations General Assembly,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-74th-session-united-nations-general-assembly/,OPTIMISM,OTHERS
China,20-06-2016 00:00,H.E. Wang Yi,Build a New Type of International Relations Featuring Win-Win Cooperation,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1376908.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,20-11-2020,Vladimir Putin,Address to participants in Nuremberg Lessons forum,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/64447,UPSET,EXTREMISM
Russia,02-12-2009 00:00,Dmitry Medvedev,Opening Remarks at a Meeting of the Presidential Council for the Development of the Information Society in Russia,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/3160,OPTIMISM,DEVELOPMENT
United Kingdom,28-Feb-11,David Cameron,Prime Minister's statement on Libya,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/prime-ministers-statement-on-libya--2,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,20-09-2003,Vladimir Putin,Concluding Remarks at the United Russia Party’s Third Congress,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22121,NEUTRAL,OTHERS
Russia,24-01-2003,Vladimir Putin,Speech at a Meeting to Mark the 80th Anniversary of the Supreme Court,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21846,JOY,OTHERS
China,25-09-2014 00:00,H.E. Wang Yi,"Epidemic Knows No Borders,Yet Adversity Reveals True Friendship",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1195236.shtml,UPSET,INTERNATIONAL AFFAIRS
Russia,30-09-2008,Dmitry Medvedev,Speech at the Ceremony for Officers who have been Newly Appointed to Senior Command Positions and who have Received High (Special) Ranks,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/1564,JOY,OTHERS
Russia,19-12-2001,Vladimir Putin,Opening Remarks at a Meeting of the State Council on Government Support and Development of Small Business in Russia,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21452,UPSET,DEVELOPMENT
Russia,23-05-2002,Vladimir Putin,Opening Remarks at a Meeting with the Russian Union of Industrialists and Entrepreneurs,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21604,UPSET,DEVELOPMENT
China,26-09-2014 00:00,H.E. Wang Yi,The Blue Helmet: Lighting the Beacon of Peace,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1195556.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,15-09-2021 00:00,Joe Biden,Statement by President Biden on Yom Kippur,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/09/15/statement-by-president-biden-on-yom-kippur/,JOY,OTHERS
USA,28-11-2021 00:00,Joe Biden,Statement by President Joe Biden on Hanukkah,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/28/statement-by-president-joe-biden-on-hanukkah/,JOY,OTHERS
United Kingdom,03-Jun-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 3 June 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-statement-at-the-coronavirus-press-conference-3-june-2020,NEUTRAL,DEVELOPMENT
China,26-03-2020 00:00,H.E. Xi Jinping,Working Together to Defeat the COVID-19 Outbreak,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1761899.shtml,OPTIMISM,DEVELOPMENT
USA,07-08-2014,Barack Obama,"
Statement by the President",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/08/07/statement-president,NEUTRAL,INTERNATIONAL AFFAIRS
USA,08-10-2014,Barack Obama,"
Remarks by the President at the Pentagon",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/10/08/remarks-president-pentagon,JOY,INTERNATIONAL AFFAIRS
USA,17-06-2021 00:00,Joe Biden,Remarks by President Biden at Signing of the Juneteenth National Independence Day Act,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/06/17/remarks-by-president-biden-at-signing-of-the-juneteenth-national-independence-day-act/,JOY,NATIONALISM
USA,09-11-2021 00:00,Joe Biden,Statement of President Joe Biden on the Passing of Former United States Senator Max Cleland of Georgia,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/09/statement-of-president-joe-biden-on-the-passing-of-former-united-states-senator-max-cleland-of-georgia/,UPSET,OTHERS
Russia,09-11-2001 00:00,Vladimir Putin,Statement on Terrorist Attacks in the USA,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21328,UPSET,INTERNATIONAL AFFAIRS
Russia,05-09-2007 00:00,Vladimir Putin,Speech at the Military Parade Celebrating the 62nd Anniversary of Victory in the Great Patriotic War,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24238,NEUTRAL,NATIONALISM
USA,19-04-2018 00:00,Donald Trump,"Remarks by President Trump After Briefing with Joint Interagency Task Force-South, NORTHCOM, and SOUTHCOM",President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-briefing-joint-interagency-task-force-south-northcom-southcom/,JOY,OTHERS
Russia,23-11-2019,Vladimir Putin,United Russia party congress,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/62105,NEUTRAL,OTHERS
USA,25-09-2018 00:00,Donald Trump,Remarks by President Trump at a Luncheon Hosted by the Secretary-General of the United Nations,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-luncheon-hosted-secretary-general-united-nations-2/,OPTIMISM,INTERNATIONAL AFFAIRS
China,23-07-2015 00:00,H.E. Wang Yi,Carry Forward the Tazara Spirit In a Joint Effort to Build a Community of Shared Destiny,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1284457.shtml,JOY,INTERNATIONAL AFFAIRS
USA,19-07-2021 00:00,Joe Biden,Statement by President Joe Biden on the Occasion of Eid al-Adha,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/19/statement-by-president-joe-biden-on-the-occasion-of-eid-al-adha/,JOY,OTHERS
USA,02-07-2013,Barack Obama,"
Remarks by President Obama at Ubungo Symbion Power Plant",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/07/02/remarks-president-obama-ubungo-symbion-power-plant,JOY,DEVELOPMENT
USA,09-02-2020 00:00,Donald Trump,Remarks by President Trump at the 2020 Governors’ Ball,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-2020-governors-ball/,JOY,INTERNATIONAL AFFAIRS
USA,08-05-2015,Barack Obama,"
Weekly Address: Honoring the 70th Anniversary of V-E Day",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/05/08/weekly-address-honoring-70th-anniversary-v-e-day,JOY,OTHERS
USA,16-04-2015,Barack Obama,"
Remarks by the President Before Signing Medicare Access and CHIP Reauthorization Act",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/04/16/remarks-president-signing-medicare-access-and-chip-reauthorization-act,JOY,OTHERS
China,04-01-2015 00:00,Xi Jinping,Chinese President Xi Jinping's 2015 New Year Message,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1225634.shtml,OPTIMISM,DEVELOPMENT
USA,04-07-2017 00:00,Donald Trump,Remarks by President Trump at 4th of July Military Appreciation Event,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-4th-july-military-appreciation-event/,JOY,NATIONALISM
Russia,29-03-2005,Vladimir Putin,Closing Remarks at the Meeting of the Russian Organising Committee “Victory”,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22887,JOY,NATIONALISM
China,04-11-2019 00:00,Li Keqiang,"Speech by H.E. Li Keqiang
Premier of the State Council of
The People's Republic of China
At the 22nd China-ASEAN Summit",Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1713324.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,12-11-2014,Barack Obama,"
Toast Remarks by President Obama in Luncheon with President Xi of China",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/11/12/toast-remarks-president-obama-luncheon-president-xi-china,NEUTRAL,INTERNATIONAL AFFAIRS
USA,25-06-2021 00:00,Joe Biden,Remarks by President Biden Commemorating LGBTQ+ Pride Month,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/06/25/remarks-by-president-biden-commemorating-lgbtq-pride-month/,OPTIMISM,OTHERS
USA,22-02-2014,Barack Obama,"
Weekly Address: Time to Lift the Minimum Wage and Give America a Raise",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/02/22/weekly-address-time-lift-minimum-wage-and-give-america-raise,NEUTRAL,OTHERS
USA,25-02-2021 00:00,Joe Biden,Remarks by President Biden at an Event Commemorating the 50 Millionth COVID-⁠19 Vaccine Shot,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/25/remarks-by-president-biden-at-an-event-commemorating-the-50-millionth-covid-19-vaccine-shot/,JOY,DEVELOPMENT
USA,11-11-2018 00:00,Donald Trump,Remarks by President Trump at the American Commemoration Ceremony Hosted by the Secretary of the American Battle Monuments Commission,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-american-commemoration-ceremony-hosted-secretary-american-battle-monuments-commission/,JOY,NATIONALISM
USA,01-11-2021 00:00,Joe Biden,Statement by President Joe Biden on the 2022 Open Enrollment Period,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/01/statement-by-president-joe-biden-on-the-2022-open-enrollment-period/,JOY,DEVELOPMENT
USA,01-07-2021 00:00,Joe Biden,Statement by President Joe Biden on Today’s Agreement of 130 Countries to Support a Global Minimum Tax for the World’s Largest Corporations,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/01/statement-by-president-joe-biden-on-todays-agreement-of-130-countries-to-support-a-global-minimum-tax-for-the-worlds-largest-corporations/,OPTIMISM,DEVELOPMENT
USA,25-10-2018 00:00,Donald Trump,Remarks by President Trump on Prescription Drug Prices,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-prescription-drug-prices/,JOY,DEVELOPMENT
Russia,12-10-2015 00:00,Vladimir Putin,Presentation of state decorations,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/50905,JOY,OTHERS
USA,15-11-2013,Barack Obama,"
Remarks by the President Before Meeting with Insurance Companies",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/11/15/remarks-president-meeting-insurance-companies,NEUTRAL,DEVELOPMENT
China,25-07-2014 00:00,H.E. Wang Yi,"Seize New Opportunities, Embark on New Path and Write New Chapter - Foreign Minister Wang Yi Talks about President Xi Jinping's Attendance at BRICS Summit and China-Latin America and the Caribbean Summit, and Visits to Four Latin American Countries",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1178527.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,10-08-2013,Barack Obama,"
Weekly Address: A Better Bargain for Responsible, Middle Class Homeowners",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/08/10/weekly-address-better-bargain-responsible-middle-class-homeowners,OPTIMISM,DEVELOPMENT
USA,16-03-2013,Barack Obama,"
Weekly Address: Time to Create the Energy Security Trust",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/03/16/weekly-address-time-create-energy-security-trust,OPTIMISM,DEVELOPMENT
Russia,17-03-2010,Dmitry Medvedev,Security Council meeting on preventing national security threats arising from global climate change,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/7125,NEUTRAL,DEVELOPMENT
Russia,22-12-2005,Vladimir Putin,Opening Address at the Security Council Session on Russia’s Role in Guaranteeing International Energy Security,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23356,NEUTRAL,DEVELOPMENT
USA,09-02-2016,Barack Obama,"
Remarks by the President on New Cybersecurity Initiatives",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/02/09/remarks-president-new-cybersecurity-initiatives,OPTIMISM,DEVELOPMENT
China,01-10-2020 00:00,H.E. Xi Jinping,"Statement by H.E. Xi Jinping
President of the People's Republic of China
At the High-level Meeting on the Twenty-fifth Anniversary of
The Fourth World Conference on Women",President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1821556.shtml,OPTIMISM,DEVELOPMENT
USA,02-04-2021 00:00,Joe Biden,Statement by President Joe Biden on Today’s Attack Outside the Capitol,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/04/02/statement-by-president-joe-biden-on-todays-attack-outside-the-capitol/,UPSET,OTHERS
USA,03-03-2021 00:00,Joe Biden,A Letter on the Continuation of the National Emergency with Respect to Ukraine,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/03/a-letter-on-the-continuation-of-the-national-emergency-with-respect-to-ukraine/,NEUTRAL,INTERNATIONAL AFFAIRS
USA,11-11-2014,Barack Obama,"
Remarks by President Obama at APEC Plenary Session One",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/11/11/remarks-president-obama-apec-plenary-session-one,JOY,INTERNATIONAL AFFAIRS
USA,27-06-2018 00:00,Donald Trump,Remarks by President Trump at a Conversation with America’s Future Event,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-conversation-americas-future-event/,OPTIMISM,DEVELOPMENT
USA,23-11-2021 00:00,Joe Biden,Remarks by President Biden on the Economy and Lowering Prices for the American People,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/11/23/remarks-by-president-biden-on-the-economy-and-lowering-prices-for-the-american-people/,OPTIMISM,DEVELOPMENT
USA,10-03-2021 00:00,Joe Biden,Statement by President Joe Biden on the House Passage of the American Rescue Plan,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/10/statement-by-president-joe-biden-on-the-house-passage-of-the-american-rescue-plan/,JOY,DEVELOPMENT
USA,15-05-2014,Barack Obama,"
Remarks by the President at 9/11 Museum Dedication",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/05/15/remarks-president-911-museum-dedication,JOY,OTHERS
China,24-09-2009 00:00,Hu Jintao,"
Work Together to Build a Safer World for All ",President,Hu Jintao,https://www.fmprc.gov.cn/ce/cgvienna/eng/xw/t607086.htm,NEUTRAL,INTERNATIONAL AFFAIRS
USA,02-04-2015,Barack Obama,"
Statement by the President on the Framework to Prevent Iran from Obtaining a Nuclear Weapon",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/04/02/statement-president-framework-prevent-iran-obtaining-nuclear-weapon,JOY,INTERNATIONAL AFFAIRS
USA,19-08-2016,Barack Obama,"
Weekly Address: Celebrating the 100th Anniversary of the National Park Service",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/08/20/weekly-address-celebrating-100th-anniversary-national-park-service,JOY,DEVELOPMENT
USA,02-07-2021 00:00,Joe Biden,Statement of President Joe Biden on the Results of the Independent Review Commission on Military Sexual Assault,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/02/statement-of-president-joe-biden-on-the-results-of-the-independent-review-commission-on-military-sexual-assault/,NEUTRAL,OTHERS
